customer,Age,Education,Employ,Address,Income,Leverage,Creddebt,OthDebt,MonthlyLoad,Default,OthDebtRatio
63041,18,Med,0,0.0,19.0,1.5,0.06,0.22,0.09,0,0.011578947368421053
63054,22,Bas,1,1.0,19.0,8.9,0.49,1.2,0.56,0,0.06315789473684211
63055,21,Med,0,1.0,30.0,4.3,0.18,1.11,0.19,0,0.037000000000000005
63071,33,SupInc,4,4.0,60.0,9.5,1.61,4.09,0.25,0,0.06816666666666667
70016,21,SupInc,0,1.0,41.0,23.4,1.97,7.63,0.8,1,0.18609756097560975
70065,42,SupInc,18,15.0,63.0,11.3,2.54,4.58,0.29,0,0.07269841269841269
70093,32,SupInc,10,5.0,38.0,11.5,1.05,3.32,0.42,0,0.08736842105263158
70178,33,SupCom,5,4.0,105.0,13.4,7.05,7.02,0.26,1,0.06685714285714285
70186,73,Bas,50,34.0,289.0,8.4,7.84,16.43,0.11,0,0.05685121107266436
70221,61,SupCom,23,20.0,81.0,8.9,1.7,5.51,0.2,0,0.06802469135802469
70248,38,Posg,2,8.0,229.0,6.7,3.94,11.4,0.1,0,0.04978165938864629
70269,46,SupInc,13,11.0,45.0,22.2,3.33,6.66,0.72,1,0.148
70325,20,SupInc,0,0.0,20.0,7.2,0.34,1.1,0.43,1,0.05500000000000001
70403,19,Med,0,0.0,24.0,15.6,0.75,3.0,0.81,1,0.125
70412,28,SupCom,0,4.0,47.0,18.6,6.71,2.04,0.58,1,0.04340425531914894
70430,24,SupCom,0,2.0,21.0,6.6,0.58,0.81,0.38,1,0.038571428571428576
70522,53,Bas,1,12.0,30.0,8.8,0.41,2.23,0.38,0,0.07433333333333333
70525,35,Med,14,7.0,62.0,8.2,0.6,4.48,0.21,0,0.07225806451612904
70548,43,Med,7,11.0,53.0,3.7,0.85,1.11,0.11,0,0.020943396226415095
70553,32,Bas,9,6.0,33.0,8.1,1.15,1.52,0.33,0,0.04606060606060606
70558,27,Bas,9,1.0,28.0,5.7,0.11,1.49,0.26,0,0.053214285714285714
70567,18,Med,0,0.0,22.0,1.5,0.13,0.2,0.08,0,0.009090909090909092
70673,19,Med,0,0.0,31.0,28.7,5.36,3.53,1.21,1,0.11387096774193547
70687,18,Med,0,0.0,36.0,6.2,1.05,1.18,0.23,1,0.032777777777777774
70710,54,Med,20,15.0,82.0,20.0,4.35,12.05,0.44,0,0.14695121951219514
70770,43,SupInc,0,4.0,31.0,2.4,0.28,0.46,0.1,0,0.014838709677419355
70849,50,Med,15,14.0,65.0,12.6,3.05,5.14,0.32,0,0.07907692307692307
70886,26,Bas,10,3.0,31.0,8.8,0.78,1.95,0.37,0,0.06290322580645161
70888,35,Med,4,2.0,57.0,6.0,1.29,2.13,0.17,0,0.03736842105263158
70907,47,Med,6,12.0,34.0,4.4,0.53,0.97,0.17,0,0.028529411764705883
70938,31,Posg,2,5.0,19.0,15.9,0.94,2.08,1.0,0,0.10947368421052632
71122,40,SupInc,7,11.0,53.0,12.4,1.48,5.09,0.36,0,0.0960377358490566
71175,56,SupCom,14,25.0,206.0,27.9,15.29,42.19,0.41,1,0.20480582524271843
71264,34,SupCom,3,8.0,72.0,7.6,0.38,5.09,0.18,0,0.07069444444444445
71270,18,Med,0,0.0,18.0,12.7,0.65,1.64,0.83,1,0.0911111111111111
71417,46,Med,24,10.0,78.0,6.9,2.74,2.64,0.16,0,0.033846153846153845
71424,31,Med,2,6.0,45.0,3.1,0.43,0.96,0.1,0,0.021333333333333333
71431,25,Med,1,1.0,16.0,2.1,0.15,0.19,0.15,0,0.011875
71439,79,Bas,63,18.0,497.0,8.2,15.08,25.68,0.1,0,0.051670020120724344
71522,43,SupInc,21,14.0,125.0,11.5,6.33,8.05,0.21,0,0.0644
71585,26,Bas,9,3.0,41.0,22.1,0.62,8.44,0.76,0,0.20585365853658535
71630,26,SupInc,1,4.0,36.0,12.5,1.59,2.91,0.47,0,0.08083333333333334
71699,18,Bas,0,0.0,28.0,17.0,1.75,3.01,0.78,1,0.1075
71730,30,Med,0,4.0,25.0,7.4,0.26,1.59,0.37,0,0.0636
71732,47,SupInc,3,8.0,69.0,5.2,0.9,2.69,0.13,0,0.03898550724637681
71758,18,Med,0,0.0,35.0,12.4,1.13,3.21,0.48,0,0.0917142857142857
71761,30,Bas,13,3.0,38.0,4.6,0.34,1.41,0.17,0,0.03710526315789473
71782,21,SupInc,0,1.0,25.0,6.7,1.29,0.38,0.33,1,0.0152
71784,33,SupCom,4,9.0,119.0,15.3,6.57,11.63,0.28,1,0.0977310924369748
71812,36,Med,3,6.0,28.0,4.9,0.26,1.12,0.22,0,0.04
71817,26,Med,7,3.0,49.0,17.7,5.38,3.3,0.54,1,0.0673469387755102
71896,20,SupInc,0,0.0,21.0,1.3,0.18,0.0,0.07,1,0.0
72021,56,Med,19,8.0,76.0,1.2,0.18,0.73,0.03,0,0.009605263157894737
72023,42,SupCom,7,12.0,130.0,11.6,3.33,11.75,0.21,1,0.09038461538461538
72147,23,SupCom,0,3.0,47.0,8.9,0.62,3.56,0.28,0,0.07574468085106383
72213,32,SupInc,3,8.0,86.0,7.9,2.2,4.59,0.17,0,0.05337209302325581
72221,20,SupInc,0,0.0,30.0,10.6,2.53,0.65,0.46,1,0.021666666666666667
72302,19,Med,0,0.0,21.0,12.0,0.35,2.17,0.69,0,0.10333333333333333
72307,26,Med,1,0.0,26.0,11.1,1.69,1.19,0.54,1,0.04576923076923077
72385,59,SupInc,31,21.0,102.0,0.3,0.1,0.2,0.01,0,0.00196078431372549
72447,21,SupInc,0,1.0,13.0,8.3,0.45,0.63,0.72,1,0.04846153846153846
72506,39,SupCom,14,6.0,152.0,27.4,13.41,28.24,0.45,1,0.1857894736842105
72584,18,Med,0,0.0,12.0,3.3,0.11,0.29,0.31,1,0.024166666666666666
72633,20,Med,0,0.0,38.0,7.5,0.36,2.49,0.27,0,0.0655263157894737
72635,33,SupCom,1,6.0,23.0,4.2,0.19,0.77,0.22,1,0.03347826086956522
72704,19,Bas,1,0.0,16.0,3.4,0.31,0.24,0.25,1,0.015
72756,29,SupInc,5,5.0,52.0,16.8,5.63,3.1,0.49,0,0.05961538461538462
72803,70,SupInc,48,25.0,165.0,14.8,0.56,23.86,0.24,0,0.1446060606060606
72806,44,Bas,22,8.0,93.0,9.0,4.38,3.99,0.19,0,0.04290322580645162
72846,40,Med,20,10.0,117.0,11.9,4.94,8.98,0.22,0,0.07675213675213675
72860,21,Med,1,1.0,23.0,7.4,0.26,1.44,0.4,1,0.0626086956521739
72954,43,Med,8,11.0,48.0,9.7,1.32,3.34,0.3,0,0.06958333333333333
73016,27,Med,3,4.0,28.0,4.2,0.54,0.64,0.19,0,0.022857142857142857
73083,21,SupInc,0,1.0,21.0,10.4,1.54,0.65,0.6,0,0.030952380952380953
73188,29,Med,3,5.0,45.0,14.1,1.68,4.66,0.45,1,0.10355555555555555
73525,41,Med,2,10.0,40.0,7.9,0.31,2.85,0.28,0,0.07125000000000001
73537,28,SupCom,5,3.0,30.0,7.0,0.46,1.64,0.3,0,0.05466666666666666
73591,48,Med,5,10.0,43.0,6.9,2.26,0.7,0.23,1,0.01627906976744186
73650,25,Posg,0,3.0,66.0,2.8,0.9,0.94,0.07,0,0.014242424242424242
73703,41,Med,3,7.0,62.0,7.0,2.89,1.45,0.18,1,0.02338709677419355
73741,22,Med,1,2.0,24.0,16.1,0.8,3.07,0.83,0,0.12791666666666665
73764,47,SupInc,8,11.0,43.0,11.8,2.27,2.8,0.39,0,0.06511627906976744
73864,18,Med,0,0.0,24.0,5.3,0.59,0.68,0.27,0,0.028333333333333335
73907,28,Posg,0,4.0,50.0,8.6,0.28,4.02,0.26,0,0.08039999999999999
73999,41,Med,5,8.0,37.0,5.8,0.35,1.8,0.21,0,0.04864864864864865
74006,31,Med,2,7.0,42.0,10.3,0.86,3.47,0.35,1,0.08261904761904762
74096,19,Med,0,0.0,21.0,14.3,1.22,1.78,0.82,0,0.08476190476190476
74136,31,SupInc,1,7.0,28.0,2.0,0.17,0.39,0.09,0,0.013928571428571429
74169,18,Med,0,0.0,21.0,21.8,1.44,3.14,1.26,1,0.14952380952380953
74209,39,Med,5,5.0,39.0,4.2,0.72,0.92,0.15,0,0.02358974358974359
74221,20,Med,0,0.0,17.0,7.3,0.57,0.67,0.5,1,0.039411764705882354
74272,31,SupCom,8,4.0,29.0,6.8,1.12,0.85,0.3,0,0.029310344827586206
74287,23,Bas,3,1.0,41.0,5.5,0.67,1.58,0.19,0,0.03853658536585366
74372,25,SupInc,3,3.0,58.0,20.6,3.5,8.45,0.56,0,0.14568965517241378
74378,29,SupCom,3,1.0,47.0,2.9,0.53,0.83,0.09,0,0.017659574468085106
74394,38,SupInc,15,4.0,136.0,20.2,6.76,20.71,0.35,1,0.15227941176470589
74471,39,Bas,8,9.0,41.0,0.1,0.03,0.0,0.0,0,0.0
74498,28,SupCom,4,4.0,20.0,15.5,0.3,2.8,0.93,1,0.13999999999999999
74528,40,SupInc,10,12.0,38.0,6.1,0.92,1.4,0.22,0,0.03684210526315789
74547,46,SupInc,2,13.0,56.0,2.3,0.41,0.87,0.06,0,0.015535714285714286
74589,61,Bas,45,22.0,209.0,10.9,4.12,18.66,0.16,0,0.0892822966507177
74658,49,SupCom,18,13.0,182.0,4.8,0.94,7.79,0.07,0,0.0428021978021978
74677,71,Med,35,19.0,131.0,11.6,6.03,9.16,0.2,0,0.06992366412213741
95009,20,Bas,2,0.0,20.0,2.7,0.2,0.34,0.16,1,0.017
95034,20,SupInc,0,0.0,20.0,11.3,1.96,0.3,0.68,1,0.015
95050,18,Med,0,0.0,29.0,5.6,0.9,0.73,0.25,0,0.02517241379310345
95066,32,Posg,3,6.0,59.0,9.0,1.85,3.46,0.24,0,0.05864406779661017
95138,42,SupInc,2,13.0,22.0,13.6,1.46,1.53,0.75,1,0.06954545454545455
95177,43,SupInc,9,9.0,57.0,4.5,1.81,0.76,0.12,0,0.013333333333333334
